date,adsStarted,activeStarted,inactiveStarted,pageCount,topPages,topTags,sampleAds
2026-05-22,22,18,4,3,Go Arrow(17); Arrows GO GO(4); Arrows GO！(1),uncategorized(17); arrow_pin(5); brand_arrows(5); emoji_heavy(5); relax(5); challenge(1),1707647463769463|1276089638037945|812466555050393|1036782715343905|1274090454887031|1277138570804748|1312780357457810|1342704191062112|1485538596371808|1563788641833506
2026-05-23,41,40,1,3,Arrows GO！(31); Go Arrow(9); Arrows GO GO(1),uncategorized(39); arrow_pin(2); brand_arrows(2); emoji_heavy(1); relax(1),1028862716329892|1355855193265322|963741366387097|1423659176194034|1303499847876186|1319279600328638|1498656485037094|1684248625909226|1697326758126682|1987978651833783
2026-05-24,14,5,9,3,Arrows GO！(7); Arrows GO GO(4); Go Arrow(3),arrow_pin(9); emoji_heavy(9); puzzle_core(9); relax(8); challenge(6); urgency(6),1303785381260203|1314532933337849|999856729208627|1653351229263887|910737645347723|1552002673117312|1611196183288704|27224484570480516|1986629222248040|982104534190887
2026-05-25,20,19,1,2,Go Arrow(17); Arrows GO！(3),uncategorized(19); arrow_pin(1); challenge(1); emoji_heavy(1); puzzle_core(1); relax(1),1349429950420920|2548162738974549|1621764075581448|1222696719810501|1423545499481761|1694493098558201|1710671676610027|2006188303308914|2086368505284776|2193857374486058
2026-05-26,65,65,0,2,Go Arrow(61); Arrows GO！(4),uncategorized(65),1013727148323386|1017534077515215|1021838413712205|1090468067490183|1267360208753974|1286792313512876|1306386445013329|1306503351060961|1310560497718314|1313547326776520
2026-05-27,5,5,0,2,Go Arrow(4); Arrows GO！(1),uncategorized(5),1603580880709713|2200249964122488|812411328400091|860501023770996|1509513240805896
2026-05-28,5,5,0,2,Go Arrow(3); Arrows GO！(2),uncategorized(5),1773528957359611|973865485396418|993664096543142|1681060006441893|1034524662565374
2026-05-29,3,3,0,2,Arrows GO！(2); Go Arrow(1),uncategorized(3),2410367039390024|2168947997215626|1215245357256582
2026-05-30,6,6,0,2,Arrows GO！(5); Go Arrow(1),uncategorized(6),1310714611037783|36013567421590270|1282374320676058|2218537372296009|992711016781040|1468467954517467
2026-05-31,7,7,0,2,Arrows GO！(4); Go Arrow(3),uncategorized(5); arrow_pin(2); brand_arrows(2); challenge(2); emoji_heavy(2); puzzle_core(2),1348703600442666|1795889931376402|977016424915163|954842783841499|1655615782413634|1307527081305928|2215622699265425
2026-06-02,2,2,0,2,Arrows GO！(1); Go Arrow(1),arrow_pin(1); brand_arrows(1); challenge(1); emoji_heavy(1); puzzle_core(1); relax(1),968189612485318|1780667633340580
2026-06-03,206,165,41,4,Go Arrow(102); Arrow Go(63); Arrows GO GO(36); Arrows GO！(5),uncategorized(136); arrow_pin(70); emoji_heavy(68); puzzle_core(68); relax(68); brand_arrows(65),1035969772198250|2176008136466542|2176900006425974|998838462797298|1021896937162031|1871763284206320|2154830278705836|856905194139250|986030501018014|991114806637488
2026-06-04,105,102,3,3,Go Arrow(99); Arrows GO！(4); Arrow Go(2),uncategorized(100); arrow_pin(5); emoji_heavy(5); puzzle_core(5); relax(5); challenge(4),1709737083565978|2109120590035803|1326706259594374|1529671888556694|3199821170444851|2016567212327979|1477636320210322|1008024948420821|1011138018545751|1013041347731715
2026-06-05,59,58,1,3,Arrows GO！(48); Go Arrow(9); Arrow Go(2),arrow_pin(47); challenge(47); emoji_heavy(47); puzzle_core(47); relax(47); urgency(47),1979562112676193|2125110161681907|891991420593342|1153127546968949|1235284318624693|1316065579947419|1467461001339691|1542369594181749|1769353111112907|1931371214231123
2026-06-06,10,10,0,3,Go Arrow(5); Arrows GO！(4); Arrow Go(1),uncategorized(7); arrow_pin(3); brand_arrows(3); challenge(3); emoji_heavy(3); puzzle_core(3),1502926821575886|1537449047843750|1015360694403878|1035837868774363|1040177231877813|1425250989408409|1563235891932631|2454841144988099|1294661609539895|1515893926732332
2026-06-07,4,4,0,3,Go Arrow(2); Arrow Go(1); Arrows GO！(1),uncategorized(4),1301820028125567|1361276879194712|1496021092221404|1320234256836097
2026-06-08,35,35,0,3,Go Amaze(30); Arrow Go(2); Go Arrow(2); Arrows GO！(1),arrow_pin(32); brand_arrows(32); challenge(32); emoji_heavy(32); puzzle_core(32); relax(32),1244105497614825|996718533122267|1005432058607439|1028671076271619|1187765713486144|1277094710866386|1308392058146901|1387479469913680|1489328385984330|1508796140625770
2026-06-09,215,205,10,4,Go Amaze(204); Arrows GO GO(5); Arrows GO！(3); Arrow Go(2),emoji_heavy(214); relax(213); urgency(208); puzzle_core(181); challenge(176); arrow_pin(139),1001510742284784|1001815162777813|1340961804669401|1348298917285320|1699632791355015|1717595719243456|2058551001675886|4308914449361666|976359891858821|846168961880097
2026-06-10,124,123,1,3,Go Amaze(77); Arrows GO！(45); Arrow Go(1); Go Arrow(1),emoji_heavy(98); relax(98); urgency(97); puzzle_core(87); brand_amaze(77); challenge(52),878423708642457|26518854747791838|1734005574612793|1006590108796090|1010528408118849|1021951593860656|1029771796240590|1031908392704966|1040181395236736|1051013357391164
2026-06-11,65,65,0,2,Go Amaze(63); Arrows GO！(2),emoji_heavy(63); relax(63); urgency(63); puzzle_core(62); brand_amaze(61); challenge(55),1007553735083840|1008294108834499|1023359916689952|1025063736712651|1032978009254873|1034151649174400|1043109568375466|1265382205673885|1277895530889035|1282124117056564
2026-06-12,73,73,0,1,Go Amaze(71); Go Arrow(2),uncategorized(67); challenge(6); emoji_heavy(6); puzzle_core(6); relax(6); urgency(6),1002057092403983|1004051028666323|1010235075035902|1022567697192654|1039777532055583|1216275337177999|1286277956614593|1288642453340188|1309396117507819|1314005740916989
2026-06-13,12,12,0,2,Arrow Go(5); Go Amaze(5); Go Arrow(2),challenge(9); emoji_heavy(9); puzzle_core(9); relax(9); urgency(9); arrow_pin(7),1441496777734449|3005282539818459|4440805039580964|2223068398518331|979671261527330|1266474602063802|1323492629751867|1535869147952472|2198492150946875|2845114745839440
2026-06-14,28,27,1,3,Go Amaze(18); Arrow Go(6); Arrows GO！(4),emoji_heavy(28); puzzle_core(28); relax(28); arrow_pin(26); brand_arrows(25); challenge(6),1365586158769191|1527578889058688|3087915181418948|1325878425653097|1935689180465587|1333533052081110|897652006682617|1015372887519020|1020923317255212|1195776823614821
2026-06-15,65,61,4,3,Go Amaze(34); Arrow Go(26); Arrows GO！(4); Go Arrow(1),emoji_heavy(64); puzzle_core(64); relax(64); challenge(40); urgency(40); arrow_pin(34),979336861744570|1019408270560829|1056133083542046|1251893760190726|1504204861501130|848631961264077|976696801636300|1538140471343491|1625002918579136|1026514889907849
2026-06-16,369,337,32,4,Amaze GO！(124); Go Amaze(103); Arrows GO！(66); Amaze Go GO！(26),emoji_heavy(315); relax(315); puzzle_core(306); challenge(284); urgency(284); brand_amaze(244),1039122222001129|2250180909144850|1329354205996686|1491829419299105|1541191014365460|1629658288122997|1660998201823323|27121721734136575|861096396584942|1696897434767394
2026-06-17,61,35,26,4,Go Amaze(28); Arrows GO GO(20); Arrow Go(5); Arrows GO！(3),emoji_heavy(32); relax(32); uncategorized(29); puzzle_core(27); challenge(24); urgency(24),1031476752722596|1318552543813131|1525554112418946|1272023488076810|1621775152257945|888540674289489|1530151692169382|1509285510878511|2080421079493514|1662426641475803
2026-06-18,139,132,7,4,Go Amaze(130); Arrows GO GO(6); Amaze GO！(1); Arrow Go(1),uncategorized(128); emoji_heavy(11); relax(11); puzzle_core(8); arrow_pin(7); urgency(7),1396645462293012|2107822656459858|1708604277058111|1451310143431407|1791864995557134|1936799737269868|1516240383536745|4478749089004239|1002751942489164|1007591855080314
2026-06-19,33,33,0,2,Go Amaze(32); Arrow Go(1),uncategorized(29); arrow_pin(4); brand_arrows(4); emoji_heavy(4); puzzle_core(4); relax(4),1010015531490213|1003413645828356|1003561742531198|1004784775784531|1018126267463503|1031263606134691|1036484678928237|1050128884254138|1051424940906416|1239015101518951
2026-06-20,9,9,0,1,Go Amaze(9),uncategorized(7); emoji_heavy(2); relax(2); urgency(2); arrow_pin(1); brand_amaze(1),1012206174853470|1335364754685538|1382335160490536|1626957081702489|1705432753914849|1883036169035296|2051316979148650|2265129947655029|945281815232895
2026-06-21,10,9,1,2,Go Amaze(8); Amaze GO！(2),uncategorized(8); brand_amaze(2); challenge(2); emoji_heavy(2); puzzle_core(2); relax(2),2131802804419835|1007768028914054|1271611925050158|1328438829434277|1338224991573459|1338556587726458|1668521771026527|4639670932921067|1702887347311800|4572878796367190
2026-06-22,449,446,3,4,Go Amaze(153); Amaze Go GO！(135); Amaze GO！(80); Arrows GO！(62),emoji_heavy(319); puzzle_core(319); relax(319); urgency(290); challenge(260); brand_amaze(199),1233570072128691|1550152366819691|1553356886162691|1636120780790425|1666277651297127|1712713246639380|1713540959951207|2074237830111326|2075517040034964|2141697593446514
2026-06-23,647,638,9,4,Go Amaze(424); Amaze GO！(99); Arrows GO！(62); Amaze Go GO！(37),emoji_heavy(392); puzzle_core(392); relax(392); challenge(368); urgency(368); arrow_pin(299),1335929141199999|1436578745154061|1551794783288509|1568753464598132|1575405014258143|1600007205070496|1797668641205090|2525989747841189|3982482698555390|844307818473061
