category,reason,occurrence_count,kind,sha256,source_representative,output_file,clip_top,clip_margin,clip_arrows,clip_other_gameplay,clip_live_action,clip_non_game,vision_faces,vision_humans
01_arrows,arrow_maze_or_clip,1,video,ff21081e15b97ad162069bdb225dff7b9e862966a4edae756eca52651956b13a,page_899629066577253/videos/ad_2192087324920140_asset_1749803329777004_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2192087324920140__sha_ff21081e15b9__ad_2192087324920140_asset_1749803329777004_hd.mp4,arrows,0.45522236824035645,0.6498352289199829,0.19461286067962646,0.05962461233139038,0.09592733532190323,0,0
01_arrows,arrow_maze_or_clip,1,video,a694f71fe4cbd0d2e321ef96eb14f4c9995da5d2ee8f04545ad488580bd991fc,page_899629066577253/videos/ad_2194276724730013_asset_941372532230648_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2194276724730013__sha_a694f71fe4cb__ad_2194276724730013_asset_941372532230648_hd.mp4,arrows,0.22832852602005005,0.5328445434570312,0.3045160174369812,0.04739273712038994,0.11524675786495209,0,0
01_arrows,arrow_maze_or_clip,1,video,f3084daa2e6fb9933a5602aeeef02a18a988a6b7916393003b3e54fa65b42b16,page_899629066577253/videos/ad_2198346897374245_asset_1744884893625806_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2198346897374245__sha_f3084daa2e6f__ad_2198346897374245_asset_1744884893625806_hd.mp4,arrows,0.6240385174751282,0.7773352861404419,0.15329676866531372,0.014661470428109169,0.054706472903490067,0,0
01_arrows,arrow_maze_or_clip,1,video,21da1ca445fcd93d858c19eee35bdafb94f62ca6f5a02cf1ecfc6fc7b3d8db9f,page_899629066577253/videos/ad_2198720750967587_asset_938481878674268_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2198720750967587__sha_21da1ca445fc__ad_2198720750967587_asset_938481878674268_hd.mp4,arrows,0.6195908784866333,0.7818835973739624,0.1622927188873291,0.015362591482698917,0.04046114161610603,0,0
02_other_gameplay,strong_other_gameplay_clip,1,video,7fe3579a2dc63cbb4755b3366f3b6790a291861bd2d1f8180c51b769572843b5,page_899629066577253/videos/ad_2205168833569330_asset_951323601249798_hd.mp4,02_other_gameplay/x0001__page_899629066577253__ad_2205168833569330__sha_7fe3579a2dc6__ad_2205168833569330_asset_951323601249798_hd.mp4,other_gameplay,0.4978039115667343,0.1521039754152298,0.6499078869819641,0.13561968505382538,0.06236845627427101,0,0
01_arrows,arrow_maze_or_clip,1,video,1a242f4cd264496e04109f31f691e1cd518eb2981fe6408d0311b9f9b5f104e3,page_899629066577253/videos/ad_2206099500242898_asset_2762686207449672_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2206099500242898__sha_1a242f4cd264__ad_2206099500242898_asset_2762686207449672_hd.mp4,arrows,0.34170307219028473,0.5456418991088867,0.203938826918602,0.10348125547170639,0.1469380110502243,0,0
01_arrows,arrow_maze_or_clip,1,video,2b9fabd3aa062b944924b6301e5979d9bb010d1b2e1c809888d5a4c834591259,page_899629066577253/videos/ad_2206587833457294_asset_1673947003857552_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2206587833457294__sha_2b9fabd3aa06__ad_2206587833457294_asset_1673947003857552_hd.mp4,arrows,0.3942161500453949,0.5826364755630493,0.18842032551765442,0.1227223202586174,0.10622089356184006,0,0
01_arrows,arrow_maze_or_clip,1,video,b94d3df154fa974698cd68f9455fdf4c1141c7213b6b7fe1472ec6eb85c3f562,page_899629066577253/videos/ad_2211512806282660_asset_3950364685098083_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2211512806282660__sha_b94d3df154fa__ad_2211512806282660_asset_3950364685098083_hd.mp4,arrows,0.6614603996276855,0.7942003607749939,0.13273996114730835,0.018985481932759285,0.05407418683171272,0,0
02_other_gameplay,strong_other_gameplay_clip,1,video,36fb084155544eb7e95143850a25e79eb03b2f8b0e7ba1bd203be6f08d5f8566,page_899629066577253/videos/ad_2214687489322700_asset_2585432091892357_hd.mp4,02_other_gameplay/x0001__page_899629066577253__ad_2214687489322700__sha_36fb08415554__ad_2214687489322700_asset_2585432091892357_hd.mp4,other_gameplay,0.1503719985485077,0.34012922644615173,0.4905012249946594,0.1052311435341835,0.06413839012384415,0,0
01_arrows,arrow_maze_or_clip,1,video,afd73a48f0b0d0a8679b2013457327bb2fc9b00d7fc3683cfc12d69cf225ebe1,page_899629066577253/videos/ad_2215622699265425_asset_989524246886847_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2215622699265425__sha_afd73a48f0b0__ad_2215622699265425_asset_989524246886847_hd.mp4,arrows,0.6317882090806961,0.7666971683502197,0.13490895926952362,0.021648237481713295,0.07674568146467209,0,0
01_arrows,arrow_maze_or_clip,1,video,63bf3fd80fa9599d5878cd411bf37e2cc219c5246d24f6b2cba1d5e0c3a4f3f8,page_899629066577253/videos/ad_2218014839022694_asset_999915782386114_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2218014839022694__sha_63bf3fd80fa9__ad_2218014839022694_asset_999915782386114_hd.mp4,arrows,0.6314755827188492,0.7642610669136047,0.13278548419475555,0.025760464370250702,0.0771929994225502,0,0
02_other_gameplay,strong_other_gameplay_clip,1,video,068baaafda649d7a796c3063b69349317ce0b2b8379aaf63db9bef0f2e57175d,page_899629066577253/videos/ad_2218171082291589_asset_1394904759363169_hd.mp4,02_other_gameplay/x0001__page_899629066577253__ad_2218171082291589__sha_068baaafda64__ad_2218171082291589_asset_1394904759363169_hd.mp4,other_gameplay,0.6099890321493149,0.14718468487262726,0.7571737170219421,0.05023277923464775,0.04540885239839554,0,0
01_arrows,arrow_maze_or_clip,1,video,4e540b0c91f002ece3cd30d4f5b0bdc3bca82fff99af356e87ab281747df2245,page_899629066577253/videos/ad_2219043175577037_asset_1415859790413829_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2219043175577037__sha_4e540b0c91f0__ad_2219043175577037_asset_1415859790413829_hd.mp4,arrows,0.3863765746355057,0.6099684238433838,0.2235918492078781,0.05570346117019653,0.11073630303144455,0,0
